TimeSlice	Taxonomy	TaxonomyAuthors	LatRange
32-17 Ma	“Macrochlamis” magnolia magnolia (Conrad) 32-17 Ma	“Macrochlamis” magnolia (Conrad)	Genus not living, Oligocene to Pliocene
			
32-17 Ma	“Macrochlamis” magnolia magnolia (Conrad) 32-17 Ma	Lyropecten magnolia (Conrad)	Genus not living, Oligocene to Pliocene
			
32-17 Ma	“Macrochlamis” magnolia magnolia (Conrad) 32-17 Ma	Lyropecten (or Macrochlamis) magnolia (Conrad)	Genus not living, Oligocene to Pliocene
			
32-17 Ma	“Macrochlamis” magnolia magnolia (Conrad) 32-17 Ma	Pecten (Lyropecten) magnolia Conrad	Genus not living, Oligocene to Pliocene
			
32-17 Ma	“Macrochlamis” magnolia magnolia (Conrad) 32-17 Ma	Pecten magnolia Conrad	Genus not living, Oligocene to Pliocene
			
30-26 Ma	“Macrochlamis” magnolia ojaiensis Smith 30-26 Ma (Smith, 1991a)	Pecten (Lyropecten) magnolia Conrad	Genus not living, Oligocene to Pliocene
			
30-26 Ma	“Macrochlamis” magnolia ojaiensis Smith (Agua Sandstone)	“Macrochlamis” magnolia ojaiensis Smith	Genus not living, Oligocene to Pliocene
			
30-26 Ma	“Macrochlamis” magnolia ojaiensis Smith (Jewett Sand)	Lyropecten magnolia (Conrad)	Genus not living, Oligocene to Pliocene
			
27-2.5 Ma	“Nucula” n.sp.?	“Nucula” n.sp.?	Taxon not living, Oligocene to Pliocene
5-2.5 Ma	Acanthina emersoni Hertlein and Allison	Acanthina emersoni Hertlein and Allison	Genus, 48N-1S
13-8 Ma	Acanthina norma Nomland	Acanthina (Monoceros) norma Nomland	Genus, 48N-1S; intertidal, on rocks
13-8 Ma	Acanthina perrini Trask	Acanthina perrini Trask	Genus, 48N-1S
5 Ma-H	Acanthina punctulata (Sowerby)	Acanthina punctulata (Sowerby)	37N-32N
N.D.	Acanthina sp.	Acanthina sp.	Genus, 48N-1S
5 Ma-H	Acanthina spirata (Blainville)	Acanthina spirata (Blainville)	48N-19N; at entrances to bays
5 Ma-H	Acanthina spirata (Blainville)	Monoceros engonatum Conrad	48N-19N
5 Ma-H	Acanthina tuberculata (Gray)	Acanthina tuberculata Gray	48N-1S
27-23 Ma	Acanthocardia reedi (Loel and Corey)	Cardium (Acanthocardia) reedi Loel and Corey?	Genus, Mediterranean and West Africa
N.D.	Acanthocardia sp.	Cardium (Acanthocardia) sp. Loel and Corey	Genus, Mediterranean and West Africa
5-2.5 Ma	Acesta (Acesta) hamlini (Dall)	Lima hamlini Dall	Acesta mori (Hertlein), 37N-35N; genus, deep water,
			.500 m
8? Ma-H	Acetocina aff. A. culcitella (Gould)	Acetocina aff. A. culcitella (Gould)	58N-28N
5 Ma-H	Acharax johnsoni (Dall)	Solemya aff. S. johnsoni Dall	57N-12S; genus, 7 to 3294 m
23-17 Ma	Acila (Acila) gettysburgensis (Reagan)	Acila (Acila) gettysburgensis (Reagan)	Genus, 60N-27N; 5 to 1281 m
8-1? Ma	Acila (Acila) semirostrata (Grant and Gale)	Acila semirostrata (Grant and Gale)	Genus, 60N-27N; subgenus, 45N, Japan to 20N
13 Ma-H	Acila (Truncacila) castrensis (Hinds)	Acila conradi Meek	60.4N-27.2N; 5 to 400 m
13 Ma-H	Acila (Truncacila) cf. A. (T.) castrensis (Hinds)	Acila cf. A. castrensis (Hinds)	60N-27N
13 Ma-H	Acila (Truncacila) cf. A. (T.) castrensis (Hinds)	Acila? cf. A. castrensis (Hinds)	60N-27N
13 Ma-H	Acila (Truncacila) conradi (Meek)	Acila conradi (Meek)	60N-27N; 5 to 400 m
23-13 Ma	Acila (Truncacila) conradi (Meek)	Acila (Truncacila) conradi (Meek)	Genus, 60N-27N; 5 to 1281 m
N.D.	Acila sp.	Acila sp.	Genus, 60N-27N; 5 to 1281 m
5? Ma-H	Acmaea cf. A. funiculata (Carpenter)	Acmaea cf. A. funiculata (Carpenter)	55N-25N
N.D.	Acmaea sp.	Acmaea sp.	Genus, 72N-16N
8? Ma-H	Acmaea? cf. A. mitra Rathke	Acmaea? cf. A. mitra Eschscholtz	65N-33N; intertidal to sublittoral
5 Ma-H	Acteocina aff. A. inculta (Gould and Carpenter)	Acteocina aff. A. inculta (Gould and Carpenter)	37N-33N, in shallow bays through Gulf of California
5? Ma-H	Acteocina cf. A. culcitella (Gould)	Acteocina cf. A. culcitella (Gould)	58N-28N; genus, intertidal to 293 m, on sand
5 Ma-H	Acteocina eximia Baird	Acteocina eximia Baird	58N-37N
5 Ma-H	Acteocina harpa (Dall)	Coleophysis harpa (Dall); also as Retusa	55N-30N; gravel, low tide to sublittoral; genus, 18 to
		(Retusa) harpa (Dall)	549 m
N.D.	Acteocina n.sp. Powell	Acteocina n.sp. Powell	Genus, 58N-8N
			
N.D.	Acteocina sp.	Acteocina sp.	Genus, 58N-8N
5 Ma-H	Acteon (Rictaxis) aff. A. (R.) grandior Grant and Gale	Acteon aff. A. grandior Grant and Gale	33N
			
8-5 Ma-H	Acteon (Rictaxis) cf. A. (R.) punctocaelatus (Carpenter)	Acteon cf. A. punctocaelatus (Carpenter)	37N-27N
			
8-5 Ma-H	Acteon (Rictaxis) punctocaelatus (Carpenter)	Acteon punctocalatus (Carpenter)	37N-27N
17-13 Ma	Acteon (Rictaxis) weaveri Addicott	Acteon (Rictaxis) weaveri Addicott	Genus, 37N-8N; genus, intertidal to 73 m, on sand
17-13 and 8? Ma	Acteon boulderanus Etherington	Acteon boulderana Etherington	Genus, 37N-8N
			
17-13 and 8? Ma	Acteon boulderanus Etherington	Acteon boulderanus Etherington	Genus, 37N-8N
			
17-13 Ma	Acteon cf. A. quercus? Anderson and Hanna	Acteon cf. A. quercus Anderson and Hanna	Genus, 37N-8N; Eocene species
N.D.	Acteon sp.	Acteon sp.	Genus, 37N-8N
N.D.	Acteon sp.	Actaeon sp.	Genus, 37N-8N
27-23 Ma	Acutostrea? miguelensis (Hertlein)	Ostrea miguelensis Hertlein	Genus not living
17-13 Ma	Admete clatskaniensis Anderson and Martin	Admete clatskaniensis Anderson and Martin	Genus, 71N-17N; 18 to 730 m
5 Ma-H	Admete couthouyi (Jay)	Admete gracilior (Carpenter) of Arnold	72N-33N
5-2.5 Ma	Admete dilleri Martin	Admete dilleri Martin	Genus, 71N-17N
8 Ma-H	Admete rhyssa Dall	Admete rhyssa Dall	34N-32N
8 Ma-H	Adula cf. A. gruneri (Philippi)	Adula cf. A. falcata (Gould)	43N-28N; genus, intertidal to 18 m, boring into rocks,
			soft clay
23-17 Ma	Aforia clallamensis (Weaver)?	Aforia clallamensis (Weaver)	Genus, 65N-48N
13-8 Ma	Agasoma sinuatum (Gabb)	Agasoma sinuatum (Gabb)	Genus not living
13-8 Ma	Agasoma sinuatum (Gabb)	Agasoma sinuata (Gabb)	Genus not living
13-8 Ma	Agasoma sinuatum (Gabb)	Koilopleura sinuata (Gabb)	Genus not living
N.D.	Agasoma sp.	Agasoma n.sp. or sp. a	Genus not living
23-13 Ma	Agathotoma (Agathotoma) howei (Anderson and Martin)	Mangelia (Agathotoma) howei Anderson and	Genus, 37N-3S; subgenus, 25N-3S; genus, 18 to 92
		Martin)	m
23-13 Ma	Agathotoma (Agathotoma) howei (Anderson and Martin)	Clathrodrillia howei (Anderson and Martin)	Genus, 37N-3S; subgenus, 25N-3S
			
23-13 Ma	Agathotoma (Agathotoma) howei (Anderson and Martin)	Drillia howei Anderson	Genus, 37N-3S; subgenus, 25-3S
			
23-13 Ma	Agathotoma (Agathotoma) howei (Anderson and Martin)	Mangelia howei Anderson and Martin	Genus, 37N-3S; subgenus, 25N-3S
			
5 Ma-H	Agathotoma hexagon (Gabb)	Agathotoma hexagon (Gabb)	37N-33N
8-5 Ma	Albina curta Woodring	Albina curta Woodring	Genus, 35-15N, Atlantic
N.D.	Aletes sp.	Aletes sp.	Genus, 55N-1S
N.D.	Algadrilla? sp.	Algadrilla? sp.	Genus, Gulf of California-5S
5-2.5 Ma?	Algadrillia n.sp. Powell 5-2.5 Ma?	Algadrillia n.sp. Powell	Genus, Gulf of California-5S
5 Ma-H	Aligena cokeri Dall	Aligena diegoana Hertlein and Grant	31N-3S; genus, 92 to 238 m
N.D.	Alvania sp.	Alvania sp.	Genus, 57N-8N, through Gulf of California; intertidal
			to 229 m
17-13 Ma	Amaea (Scalina) durhami (Keen)	Ferminoscala durhami Keen	Subgenus, 28N-3S, Gulf of California; genus, 10 to
			1485 m
17-13 Ma	Amaea (Scalina) durhami (Keen)	Scalina durhami (Keen)	Subgenus, 28N-3S, Gulf of California
17-13 Ma	Amaea (Scalina) whitei (Keen)	Ferminoscala whitei Keen	Subgenus, 28N-3S, Gulf of California
17-13 Ma	Amaea (Scalina) whitei (Keen)	Scalina whitei (Keen)	Subgenus, 28N-3S, Gulf of California
N.D.	Amauropsis sp.	Ampullina sp.	Genus, 72N-60N; intertidal
N.D.	Amauropsis sp.	Amauropsis sp.	Genus, 72N-60N
8-5 Ma	Americardia guanacastensis (Hertlein and Strong)	Americardia guanacastensis (Hertlein and Strong)	Genus, 35N-15N Atlantic
			
13-8 Ma	Amiantis (Amiantis) dalli Clark	Amiantis dalli Clark	Genus, 35N-23N
17? or 13 Ma-H	Amiantis callosa (Conrad)	Amiantis callosa (Conrad)	34.4N-24.8N; below low-tide line along sandy
			beaches, to 20 m
